,nouns
8L001YT4k6k,"['의도', '수어', '손동작', '만약', '의도', '디테일', '얼마나']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['오늘', '뿌우우우']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['이번', '앨범']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,['겨울']
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['천만이', '코앞']"
8L001YT4k6k,
8L001YT4k6k,['최고']
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,['귀욤귀욤해']
8L001YT4k6k,"['타팬', '노래', '멤버']"
8L001YT4k6k,
8L001YT4k6k,['천만']
8L001YT4k6k,
8L001YT4k6k,"['파이팅', '목표', '천만', '꼭꼭']"
8L001YT4k6k,
8L001YT4k6k,"['마음', '마법']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['진짜', '최고']"
8L001YT4k6k,"['리즈시절', '플리', '지금', '풍파']"
8L001YT4k6k,"['진짜', '성수', '팝업', '보고', '랜덤', '포카깡', '기분', '포카', '앨범', '아이돌', '앨범', '처음', '포카']"
8L001YT4k6k,"['여기', '소리', '세계관', '정말']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,['쥬타쥬타']
8L001YT4k6k,
8L001YT4k6k,"['앨범', '커리어', '하이', '축하']"
8L001YT4k6k,
8L001YT4k6k,"['레이브', '축하', '플리', '사랑', '더욱', '생각', '진짜', '노래', '노래', '정말']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['노래', '진짜', '개처']"
8L001YT4k6k,
8L001YT4k6k,"['플리', '캐릭터', '미화']"
8L001YT4k6k,['레이브']
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['리스닝', '하드', '싱잉']"
8L001YT4k6k,"['커리어', '하이', '축하']"
8L001YT4k6k,
8L001YT4k6k,"['진짜', '마지막', '윙크', '심장', '여러분', '뮤비', '번만']"
8L001YT4k6k,['뿌우']
8L001YT4k6k,"['영차', '영차']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['백만', '추카']"
8L001YT4k6k,
8L001YT4k6k,"['백만', '축하']"
8L001YT4k6k,"['방전', '천만', '선물', '보쟈', '구영', '플리', '있쟈']"
8L001YT4k6k,['천만']
8L001YT4k6k,"['모자', '진짜']"
8L001YT4k6k,
8L001YT4k6k,"['보고', '보고']"
8L001YT4k6k,['뮤밍']
8L001YT4k6k,"['오늘', '천만', '달성', '플브', '도파민', '충전', '금방', '앨범']"
8L001YT4k6k,"['음중', '안무', '오버', '기엽', '진짜', '평생', '노래']"
8L001YT4k6k,
8L001YT4k6k,['뮤밍뮤밍']
8L001YT4k6k,
8L001YT4k6k,['볼때']
8L001YT4k6k,"['오늘', '플리']"
8L001YT4k6k,
8L001YT4k6k,['가수']
8L001YT4k6k,"['보기', '정말', '왜왜']"
8L001YT4k6k,"['싱글', '초동', '역대', '가수']"
