title,company,location,scrape_date,scrape_time,title_raw,paren_raw,title_clean,seniority,work_mode,employment_type,role_group
Senior Cloud Engineer II - SRE [T500-19212],Marriott Tech Accelerator,"Hyderabad, Telangana, India",2025-07-16,15:26:30,Senior Cloud Engineer II - SRE [T500-19212],T500-19212,senior cloud engineer ii sre,senior,unknown,unknown,devops_sre
Data Engineer,Weekday AI (YC W21),"Bengaluru, Karnataka, India",2025-07-16,15:27:48,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
Sr. Data Engineer,Concord,"Pune, Maharashtra, India",2025-07-16,15:27:48,Sr. Data Engineer,,sr data engineer,senior,unknown,unknown,data_engineering
"AI Engineer ($25,000 - $75,000)",CodeRound AI,,2025-07-16,15:29:16,"AI Engineer ($25,000 - $75,000)","$25,000 - $75,000",ai engineer,unknown,unknown,unknown,ml_ai
BI & Data Warehouse Data Engineer,Astellas Pharma,"Bengaluru, Karnataka, India",2025-07-16,15:29:16,BI & Data Warehouse Data Engineer,,bi data warehouse data engineer,unknown,unknown,unknown,data_engineering
Sr. Data Engineer,Gartner,"Chennai, Tamil Nadu, India",2025-07-16,15:29:16,Sr. Data Engineer,,sr data engineer,senior,unknown,unknown,data_engineering
Senior DevOps Engineer I,Planview,"Bengaluru, Karnataka, India",2025-07-16,15:29:16,Senior DevOps Engineer I,,senior devops engineer i,senior,unknown,unknown,devops_sre
Snowflake Data Engineer,PibyThree,"Pune, Maharashtra, India",2025-07-16,15:29:16,Snowflake Data Engineer,,snowflake data engineer,unknown,unknown,unknown,data_engineering
Jr. Cloud Engineer,Aptos Retail,"Bengaluru, Karnataka, India",2025-07-16,15:30:24,Jr. Cloud Engineer,,jr cloud engineer,junior,unknown,unknown,cloud
Data Engineer,Cummins India,"Pune, Maharashtra, India",2025-07-16,15:30:24,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
DevOps Intern,Vimaan,"Bengaluru, Karnataka, India",2025-07-16,15:30:24,DevOps Intern,,devops intern,intern,unknown,unknown,devops_sre
Senior Systems Engineer - Data DevOps/MLOps,EPAM Systems,"Gurugram, Haryana, India",2025-07-16,15:31:29,Senior Systems Engineer - Data DevOps/MLOps,,senior systems engineer data devops mlops,senior,unknown,unknown,devops_sre
Cloud Data Engineering - Databricks,Zensar Technologies,"Bengaluru, Karnataka, India",2025-07-16,15:32:46,Cloud Data Engineering - Databricks,,cloud data engineering databricks,unknown,unknown,unknown,data_engineering
Generative 3D AI Developer for BIM: India (Pune Preferred),NeoBIM GmbH,"Pune, Maharashtra, India",2025-07-16,15:32:46,Generative 3D AI Developer for BIM: India (Pune Preferred),Pune Preferred,generative 3d ai developer for bim india,unknown,unknown,unknown,ml_ai
Data Engineer,Thomson Reuters,"Hyderabad, Telangana, India",2025-07-16,15:33:59,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
