,title,company,location,scrape_date,scrape_time
225,Data Engineer,Accenture in India,"Bengaluru, Karnataka, India",2025-07-16,14:47:43
226,Senior Data Engineer,Solventum,"Bengaluru, Karnataka, India",2025-07-16,14:47:43
227,Software Developer / AI Developer – Intern,An-associates,"Remote, IN",2025-07-16,15:25:29
228,Senior - Cloud Engineer,Volvo Group,"KA, IN",2025-07-16,15:25:29
229,Senior DevOps  Engineer,Cognizant,"Bangalore Urban, Karnataka, India",2025-07-16,15:25:29
230,Senior Machine Learning Engineer,Wayfair,"Bengaluru, Karnataka, India",2025-07-16,15:25:29
231,Senior DevOps/SRE Engineer - Remote Work,BairesDev,"Bengaluru, Karnataka, India",2025-07-16,15:25:29
232,Cloud Engineer III - Infra/Migration/DevOps,Insight,"DL, IN",2025-07-16,15:46:41
233,Data Engineer - C10,Citi,"Chennai, Tamil Nadu, India",2025-07-16,15:46:41
234,Data Engineer - C11,Citi,"Pune, Maharashtra, India",2025-07-16,15:46:41
235,Big Data Engineer - C11 - BANGALORE,Citi,"Bengaluru, Karnataka, India",2025-07-16,15:46:41
236,Senior Snowflake & Oracle Golden Gate Data Engineer,Oracle,"Bengaluru, Karnataka, India",2025-07-16,15:46:41
237,Sr DevOps Engineer,Verisk,"TS, IN",2025-07-16,16:29:56
238,Senior DevOps Engineer - Bangalore,Capco,"KA, IN",2025-07-16,16:29:56
239,DevOps Engineer,LTIMindtree,"Pune, Maharashtra, India",2025-07-16,16:29:56
240,DevOps Engineer,Condor AI,"Hyderabad, Telangana, India",2025-07-16,16:29:56
241,Computer Vision Engineer,SAI,,2025-07-16,16:29:56
242,Data Engineer,TEK Inspirations LLC,,2025-07-16,16:29:56
243,DevOps Engineer,BlueBash Consulting Pvt. Ltd.,"PB, IN",2025-07-16,16:55:33
244,Cloud Engineer III - Infra/Migration/DevOps,Insight,"TS, IN",2025-07-16,16:55:33
245,Senior Data Engineer,r3 Consultant,,2025-07-16,16:55:33
246,Data Engineer,EY,"Noida, Uttar Pradesh, India",2025-07-16,17:22:41
247,AWS Devops Engineer,S&P Global,"Ghaziabad, Uttar Pradesh, India",2025-07-16,17:22:41
248,Data Engineer-Data Integration,IBM,"Bengaluru, Karnataka, India",2025-07-16,17:22:41
249,"Data Engineer (Level 4), AOP",Amazon,"Hyderabad, Telangana, India",2025-07-16,17:22:41
250,Principal Consultant - Cloud DevOps Engineer,Genpact,"KA, IN",2025-07-16,17:47:02
251,"DevOps Engineer - PeopleSoft Administration, Oracle Cloud Infra",Optum,"TS, IN",2025-07-16,17:47:02
252,DevOps Engineer,Kan's Technologies Global,,2025-07-16,17:47:02
253,Lead AI Engineer – Machine Learning,BlockTXM Inc,,2025-07-16,17:47:02
254,Staff Machine Learning Engineer,PayPal,"Bengaluru, Karnataka, India",2025-07-16,17:47:02
255,Data Engineer With Microsoft Fabric,BlockTXM Inc,,2025-07-16,17:47:02
256,Senior DevOps/SRE Engineer - Remote Work | REF#284482,BairesDev,"Warangal, Telangana, India",2025-07-16,17:47:02
257,DevOps Engineer - Remote Work | REF#284462,BairesDev,"Jaipur, Rajasthan, India",2025-07-16,18:33:16
258,Data Engineer,AMISEQ,,2025-07-16,18:33:16
259,AI Engineer II,Zeta,"Bengaluru, Karnataka, India",2025-07-16,19:18:49
260,DevOps/SRE Engineer - Remote Work,BairesDev,"Mumbai, Maharashtra, India",2025-07-16,19:18:49
261,DevOps/SRE Engineer - Remote Work,BairesDev,"Vishakhapatnam, Andhra Pradesh, India",2025-07-16,19:18:49
262,Data Engineer,A.P. Moller - Maersk,"Bengaluru, Karnataka, India",2025-07-16,19:18:49
263,DevOps Engineers,ShepHertz Technologies,"Mumbai, Maharashtra, India",2025-07-16,19:18:49
264,Senior DevOps Engineer,Ghostpunch Games,"KA, IN",2025-07-16,19:40:25
265,Senior Staff Cloud DevOps Engineer,Experian,"Hyderabad, Telangana, India",2025-07-16,19:40:25
266,DevOps Engineer,Bizbrolly,"UP, IN",2025-07-16,20:25:39
267,MERN Stack Developer and DevOps engineer,Panini8 Software,"Kolkata, West Bengal, India",2025-07-16,20:25:39
268,DevOps Engineer - Blockchain Ops,BitGo,"KA, IN",2025-07-16,21:22:09
269,Devops Engineer III,Ericsson-Worldwide,"KA, IN",2025-07-16,21:22:09
270,Data Engineer,RevX,,2025-07-16,21:22:09
271,Software DevOps Engineer,QualRec Solutions,,2025-07-16,21:22:09
272,AI Engineer,Commerciax Infotech Pvt. Ltd.,"Ahmedabad, Gujarat, India",2025-07-16,21:22:09
273,DevOps Engineer - Remote Work,BairesDev,"Bangalore Urban, Karnataka, India",2025-07-16,21:42:33
274,DevOps Engineer - Remote Work,BairesDev,"Aurangabad, Maharashtra, India",2025-07-16,21:42:33
275,DevOps Engineer - Remote Work,BairesDev,"Bengaluru, Karnataka, India",2025-07-16,21:42:33
